policy,class_id,class_name,metric,p1_value,policy_value,absolute_delta,relative_delta_percent
P3,6,horse,specificity,0.97222222,0.96611111,-0.00611111,-0.62857143
P3,7,monkey,specificity,0.95111111,0.95333333,0.00222222,0.23364486
P3,8,ship,specificity,0.98888889,0.99111111,0.00222222,0.22471910
P3,9,truck,specificity,0.98222222,0.98333333,0.00111111,0.11312217
P4,0,airplane,precision,0.85849057,0.93103448,0.07254392,8.45017052
P4,1,bird,precision,0.70857143,0.79144385,0.08287242,11.69570467
P4,2,car,precision,0.87623762,0.94974874,0.07351112,8.38940465
P4,3,cat,precision,0.48917749,0.58653846,0.09736097,19.90299523
P4,4,deer,precision,0.55502392,0.72139303,0.16636911,29.97512438
P4,5,dog,precision,0.48223350,0.56956522,0.08733171,18.10983982
P4,6,horse,precision,0.72677596,0.76165803,0.03488207,4.79956368
P4,7,monkey,precision,0.57281553,0.69398907,0.12117354,21.15402427
P4,8,ship,precision,0.90049751,0.94923858,0.04874107,5.41268194
P4,9,truck,precision,0.82608696,0.89949749,0.07341053,8.88653795
P4,0,airplane,recall,0.91000000,0.94500000,0.03500000,3.84615385
P4,1,bird,recall,0.62000000,0.74000000,0.12000000,19.35483871
P4,2,car,recall,0.88500000,0.94500000,0.06000000,6.77966102
P4,3,cat,recall,0.56500000,0.61000000,0.04500000,7.96460177
P4,4,deer,recall,0.58000000,0.72500000,0.14500000,25.00000000
P4,5,dog,recall,0.47500000,0.65500000,0.18000000,37.89473684
P4,6,horse,recall,0.66500000,0.73500000,0.07000000,10.52631579
P4,7,monkey,recall,0.59000000,0.63500000,0.04500000,7.62711864
P4,8,ship,recall,0.90500000,0.93500000,0.03000000,3.31491713
P4,9,truck,recall,0.76000000,0.89500000,0.13500000,17.76315789
P4,0,airplane,f1,0.88349515,0.93796526,0.05447011,6.16529872
P4,1,bird,f1,0.66133333,0.76485788,0.10352455,15.65391348
P4,2,car,f1,0.88059701,0.94736842,0.06677141,7.58251561
P4,3,cat,f1,0.52436195,0.59803922,0.07367727,14.05084158
P4,4,deer,f1,0.56723716,0.72319202,0.15595486,27.49376559
P4,5,dog,f1,0.47858942,0.60930233,0.13071290,27.31211750
P4,6,horse,f1,0.69451697,0.74809160,0.05357463,7.71394134
P4,7,monkey,f1,0.58128079,0.66318538,0.08190459,14.09036598
P4,8,ship,f1,0.90274314,0.94206549,0.03932235,4.35587347
P4,9,truck,f1,0.79166667,0.89724311,0.10557644,13.33597151
P4,0,airplane,specificity,0.98333333,0.99222222,0.00888889,0.90395480
P4,1,bird,specificity,0.97166667,0.97833333,0.00666667,0.68610635
P4,2,car,specificity,0.98611111,0.99444444,0.00833333,0.84507042
P4,3,cat,specificity,0.93444444,0.95222222,0.01777778,1.90249703
P4,4,deer,specificity,0.94833333,0.96888889,0.02055556,2.16754540
P4,5,dog,specificity,0.94333333,0.94500000,0.00166667,0.17667845
P4,6,horse,specificity,0.97222222,0.97444444,0.00222222,0.22857143
P4,7,monkey,specificity,0.95111111,0.96888889,0.01777778,1.86915888
P4,8,ship,specificity,0.98888889,0.99444444,0.00555556,0.56179775
P4,9,truck,specificity,0.98222222,0.98888889,0.00666667,0.67873303
