embedding_label,beta,alpha,K=5,K=10,K=15,K=20,K=30,K=50
beta=0.001,0.001,0.9,0.5995297805642633,0.5425721410758817,0.5103974121996303,0.4938506842196431,0.47110801069643066,0.44282831094717795
beta=0.003,0.003,0.9,0.591743119266055,0.5393338058114814,0.5154164749194663,0.49227865477007543,0.47086487726542786,0.44191043948426445
beta=0.01,0.01,0.9,0.5839028094153378,0.5405594405594406,0.5120454545454545,0.49413962969254294,0.4698616035685691,0.44362457761533686
beta=0.03,0.03,0.9,0.596786534047437,0.5457369692785641,0.5186025408348457,0.5002533355852051,0.47829527470042954,0.4480279375513557
beta=0,0.0,0.9,0.5960784313725489,0.5457122608079377,0.5181167782137087,0.4976671850699844,0.47184801381692576,0.44082594235033257
beta=0.1,0.1,0.9,0.6323076923076922,0.5634278002699056,0.5350553505535054,0.5144356955380578,0.4837927232635061,0.4547963648603163
