beta,k,alpha,dev_accuracy_mean,dev_accuracy_std,edge_purity,component_coverage,unreachable_mean,iterations_mean
0.00100000,30,0.99000000,0.21700000,0.02626785,0.46391038,1.00000000,0.00000000,74.00000000
0.00100000,50,0.50000000,0.38500000,0.04068852,0.43625246,1.00000000,0.00000000,10.00000000
0.00100000,50,0.80000000,0.38550000,0.04071923,0.43625246,1.00000000,0.00000000,20.00000000
0.00100000,50,0.90000000,0.36300000,0.02710064,0.43625246,1.00000000,0.00000000,29.60000000
0.00100000,50,0.95000000,0.34350000,0.02539138,0.43625246,1.00000000,0.00000000,42.50000000
0.00100000,50,0.99000000,0.19300000,0.02936362,0.43625246,1.00000000,0.00000000,67.90000000
0.00300000,5,0.50000000,0.32100000,0.02746715,0.58864160,0.99989714,10.80000000,13.10000000
0.00300000,5,0.80000000,0.35400000,0.02685351,0.58864160,0.99989714,10.80000000,33.10000000
0.00300000,5,0.90000000,0.36450000,0.03059139,0.58864160,0.99989714,10.80000000,55.30000000
0.00300000,5,0.95000000,0.36300000,0.03110913,0.58864160,0.99989714,10.80000000,81.50000000
0.00300000,5,0.99000000,0.29250000,0.03630503,0.58864160,0.99989714,10.80000000,150.40000000
0.00300000,10,0.50000000,0.35100000,0.02865504,0.53480238,1.00000000,0.00000000,12.00000000
0.00300000,10,0.80000000,0.37250000,0.02898755,0.53480238,1.00000000,0.00000000,26.20000000
0.00300000,10,0.90000000,0.37700000,0.02573368,0.53480238,1.00000000,0.00000000,40.40000000
0.00300000,10,0.95000000,0.37500000,0.02635231,0.53480238,1.00000000,0.00000000,59.80000000
0.00300000,10,0.99000000,0.24250000,0.03216710,0.53480238,1.00000000,0.00000000,116.40000000
0.00300000,15,0.50000000,0.37650000,0.03171488,0.51964659,1.00000000,0.00000000,11.50000000
0.00300000,15,0.80000000,0.39350000,0.03000463,0.51964659,1.00000000,0.00000000,23.80000000
0.00300000,15,0.90000000,0.39200000,0.03020302,0.51964659,1.00000000,0.00000000,36.00000000
0.00300000,15,0.95000000,0.37000000,0.03082207,0.51964659,1.00000000,0.00000000,49.80000000
0.00300000,15,0.99000000,0.22900000,0.02514403,0.51964659,1.00000000,0.00000000,84.10000000
0.00300000,20,0.50000000,0.38300000,0.04049691,0.49626152,1.00000000,0.00000000,10.80000000
0.00300000,20,0.80000000,0.39600000,0.03710346,0.49626152,1.00000000,0.00000000,22.30000000
0.00300000,20,0.90000000,0.38950000,0.03303618,0.49626152,1.00000000,0.00000000,32.20000000
0.00300000,20,0.95000000,0.36700000,0.01273665,0.49626152,1.00000000,0.00000000,45.50000000
0.00300000,20,0.99000000,0.22050000,0.02178812,0.49626152,1.00000000,0.00000000,79.20000000
0.00300000,30,0.50000000,0.38200000,0.03441576,0.46712883,1.00000000,0.00000000,10.00000000
0.00300000,30,0.80000000,0.38500000,0.03597839,0.46712883,1.00000000,0.00000000,20.90000000
0.00300000,30,0.90000000,0.37800000,0.03093003,0.46712883,1.00000000,0.00000000,30.90000000
0.00300000,30,0.95000000,0.35000000,0.02677063,0.46712883,1.00000000,0.00000000,44.30000000
0.00300000,30,0.99000000,0.21250000,0.02679656,0.46712883,1.00000000,0.00000000,74.20000000
0.00300000,50,0.50000000,0.37500000,0.03082207,0.44023835,1.00000000,0.00000000,10.00000000
0.00300000,50,0.80000000,0.37600000,0.02894439,0.44023835,1.00000000,0.00000000,20.00000000
0.00300000,50,0.90000000,0.36650000,0.02769376,0.44023835,1.00000000,0.00000000,29.50000000
0.00300000,50,0.95000000,0.34900000,0.02654137,0.44023835,1.00000000,0.00000000,42.50000000
0.00300000,50,0.99000000,0.18950000,0.02842632,0.44023835,1.00000000,0.00000000,68.60000000
0.01000000,5,0.50000000,0.32000000,0.03901567,0.58628485,0.99995429,4.80000000,13.30000000
0.01000000,5,0.80000000,0.35050000,0.03869037,0.58628485,0.99995429,4.80000000,32.80000000
0.01000000,5,0.90000000,0.36100000,0.03212822,0.58628485,0.99995429,4.80000000,54.60000000
0.01000000,5,0.95000000,0.35700000,0.02347576,0.58628485,0.99995429,4.80000000,80.40000000
0.01000000,5,0.99000000,0.28250000,0.05012484,0.58628485,0.99995429,4.80000000,154.80000000
0.01000000,10,0.50000000,0.35800000,0.01669997,0.53377903,1.00000000,0.00000000,11.90000000
0.01000000,10,0.80000000,0.36800000,0.01782632,0.53377903,1.00000000,0.00000000,26.20000000
0.01000000,10,0.90000000,0.38050000,0.02229225,0.53377903,1.00000000,0.00000000,41.00000000
0.01000000,10,0.95000000,0.37050000,0.03122054,0.53377903,1.00000000,0.00000000,61.10000000
0.01000000,10,0.99000000,0.23950000,0.02763351,0.53377903,1.00000000,0.00000000,122.50000000
0.01000000,15,0.50000000,0.37800000,0.03001851,0.50991697,1.00000000,0.00000000,11.60000000
0.01000000,15,0.80000000,0.39250000,0.03795099,0.50991697,1.00000000,0.00000000,23.70000000
0.01000000,15,0.90000000,0.38850000,0.03391575,0.50991697,1.00000000,0.00000000,35.90000000
0.01000000,15,0.95000000,0.37300000,0.02907844,0.50991697,1.00000000,0.00000000,49.50000000
0.01000000,15,0.99000000,0.22200000,0.02162817,0.50991697,1.00000000,0.00000000,83.20000000
0.01000000,20,0.50000000,0.38150000,0.02249074,0.48816568,1.00000000,0.00000000,10.70000000
0.01000000,20,0.80000000,0.39300000,0.03224903,0.48816568,1.00000000,0.00000000,22.30000000
0.01000000,20,0.90000000,0.39200000,0.02740641,0.48816568,1.00000000,0.00000000,32.10000000
0.01000000,20,0.95000000,0.36300000,0.02263233,0.48816568,1.00000000,0.00000000,45.70000000
0.01000000,20,0.99000000,0.22350000,0.02656752,0.48816568,1.00000000,0.00000000,78.50000000
0.01000000,30,0.50000000,0.38550000,0.03730133,0.46589862,1.00000000,0.00000000,10.00000000
0.01000000,30,0.80000000,0.38350000,0.03986435,0.46589862,1.00000000,0.00000000,20.90000000
0.01000000,30,0.90000000,0.37750000,0.02965074,0.46589862,1.00000000,0.00000000,31.00000000
0.01000000,30,0.95000000,0.35450000,0.02266299,0.46589862,1.00000000,0.00000000,44.20000000
0.01000000,30,0.99000000,0.21050000,0.02586826,0.46589862,1.00000000,0.00000000,73.40000000
0.01000000,50,0.50000000,0.38100000,0.03247221,0.44103823,1.00000000,0.00000000,10.00000000
0.01000000,50,0.80000000,0.37750000,0.03259601,0.44103823,1.00000000,0.00000000,20.00000000
0.01000000,50,0.90000000,0.36100000,0.02378141,0.44103823,1.00000000,0.00000000,29.60000000
0.01000000,50,0.95000000,0.34000000,0.03055050,0.44103823,1.00000000,0.00000000,42.50000000
0.01000000,50,0.99000000,0.18850000,0.02887232,0.44103823,1.00000000,0.00000000,67.60000000
0.03000000,5,0.50000000,0.32850000,0.03574990,0.59529233,0.99995429,4.80000000,13.50000000
0.03000000,5,0.80000000,0.35300000,0.03084009,0.59529233,0.99995429,4.80000000,32.40000000
0.03000000,5,0.90000000,0.36200000,0.02710064,0.59529233,0.99995429,4.80000000,53.80000000
0.03000000,5,0.95000000,0.36100000,0.02643651,0.59529233,0.99995429,4.80000000,79.30000000
0.03000000,5,0.99000000,0.28600000,0.04094712,0.59529233,0.99995429,4.80000000,154.10000000
0.03000000,10,0.50000000,0.36550000,0.03312015,0.54916318,1.00000000,0.00000000,12.00000000
0.03000000,10,0.80000000,0.38000000,0.03333333,0.54916318,1.00000000,0.00000000,26.00000000
0.03000000,10,0.90000000,0.38800000,0.03119829,0.54916318,1.00000000,0.00000000,40.00000000
0.03000000,10,0.95000000,0.38250000,0.03102418,0.54916318,1.00000000,0.00000000,58.80000000
0.03000000,10,0.99000000,0.23700000,0.02335713,0.54916318,1.00000000,0.00000000,123.40000000
0.03000000,15,0.50000000,0.38150000,0.03456475,0.52351457,1.00000000,0.00000000,11.50000000
0.03000000,15,0.80000000,0.39600000,0.03557465,0.52351457,1.00000000,0.00000000,23.50000000
0.03000000,15,0.90000000,0.40050000,0.02957570,0.52351457,1.00000000,0.00000000,35.60000000
0.03000000,15,0.95000000,0.38100000,0.02319004,0.52351457,1.00000000,0.00000000,48.80000000
0.03000000,15,0.99000000,0.22550000,0.01553669,0.52351457,1.00000000,0.00000000,80.40000000
0.03000000,20,0.50000000,0.38350000,0.03815538,0.49965870,1.00000000,0.00000000,10.70000000
0.03000000,20,0.80000000,0.40250000,0.03630503,0.49965870,1.00000000,0.00000000,22.10000000
0.03000000,20,0.90000000,0.39400000,0.02884826,0.49965870,1.00000000,0.00000000,31.70000000
0.03000000,20,0.95000000,0.37450000,0.02431849,0.49965870,1.00000000,0.00000000,44.60000000
0.03000000,20,0.99000000,0.22650000,0.02121975,0.49965870,1.00000000,0.00000000,75.30000000
0.03000000,30,0.50000000,0.39650000,0.03249359,0.47841440,1.00000000,0.00000000,10.00000000
0.03000000,30,0.80000000,0.40650000,0.03559416,0.47841440,1.00000000,0.00000000,20.90000000
0.03000000,30,0.90000000,0.39500000,0.02614065,0.47841440,1.00000000,0.00000000,30.30000000
0.03000000,30,0.95000000,0.36850000,0.01375379,0.47841440,1.00000000,0.00000000,43.30000000
