embedding_label,beta,k,alpha,num_folds,dev_accuracy_mean,dev_accuracy_std,dev_macro_f1_mean,dev_macro_f1_std,dev_accuracy_reachable_mean,dev_accuracy_reachable_std,dev_unreachable_count_mean,dev_unreachable_count_std,edge_purity_mean,edge_purity_std,edge_purity_fold_mean,edge_purity_fold_std,component_label_coverage_mean,component_label_coverage_std,num_components_mean,num_components_std,largest_component_fraction_mean,largest_component_fraction_std,unreachable_count_mean,unreachable_count_std,unreachable_fraction_mean,unreachable_fraction_std,iterations_mean,iterations_std,final_delta_mean,final_delta_std,converged_mean,converged_std,confidence_mean_mean,confidence_mean_std,graph_seconds_mean,graph_seconds_std,fold_seconds_mean,fold_seconds_std
beta=0.001,0.001,5,0.5,10,0.331,0.025033311140691447,0.3210012051110095,0.025438685022778115,0.331,0.025033311140691447,0.0,0.0,0.5995297805642633,0.0,0.603647222532181,0.08688412268715201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.4,0.5163977794943222,7.167458534240723e-07,2.1936164899437464e-07,1.0,0.0,0.5576087382749575,0.0029303575334781733,1.167088270187378,0.0,0.3157604455947876,0.043392826458925886
beta=0.001,0.001,5,0.8,10,0.34950000000000003,0.02543510260337954,0.3368803561847583,0.02857317745053799,0.34950000000000003,0.02543510260337954,0.0,0.0,0.5995297805642633,0.0,0.603647222532181,0.08688412268715201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.9,1.523883926754995,8.352100849151611e-07,3.773816932982284e-08,1.0,0.0,0.41270708916311466,0.003080364476718661,1.167088270187378,0.0,0.33962240219116213,0.02403147806745783
beta=0.001,0.001,5,0.9,10,0.366,0.025033311140691444,0.35159926812974696,0.029555678846642366,0.366,0.025033311140691444,0.0,0.0,0.5995297805642633,0.0,0.603647222532181,0.08688412268715201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.9,5.9338951044917465,9.298324584960937e-07,5.8854870969448986e-08,1.0,0.0,0.32953277739755454,0.002928996114651915,1.167088270187378,0.0,0.3917700290679932,0.016460906683926198
beta=0.001,0.001,5,0.95,10,0.36900000000000005,0.020789954839350245,0.3537421452724603,0.026265403714425626,0.36900000000000005,0.020789954839350245,0.0,0.0,0.5995297805642633,0.0,0.603647222532181,0.08688412268715201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,21.447610589527216,9.678304195404053e-07,2.8251141509532677e-08,1.0,0.0,0.2618557434092107,0.002905039213919592,1.167088270187378,0.0,0.44341537952423093,0.058969601282980386
beta=0.001,0.001,5,0.99,10,0.3045,0.03989221589344076,0.27520035126213965,0.03957598162954591,0.3045,0.03989221589344076,0.0,0.0,0.5995297805642633,0.0,0.603647222532181,0.08688412268715201,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,189.8,112.06625024709466,9.913434041664005e-07,6.515041945076743e-09,1.0,0.0,0.16480531958907133,0.005968320774358023,1.167088270187378,0.0,0.6809694766998291,0.2376891114792927
beta=0.001,0.001,10,0.5,10,0.361,0.02932575659723036,0.3528502631451441,0.029925892284339194,0.361,0.02932575659723036,0.0,0.0,0.5425721410758817,0.0,0.5274537990565362,0.07189755915510346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.1,0.31622776601683794,6.975606083869934e-07,1.9873889361749094e-07,1.0,0.0,0.5087263953406186,0.0029290187374177725,0.9046621322631836,0.0,0.30265676975250244,0.016608810378916757
beta=0.001,0.001,10,0.8,10,0.378,0.031552425509864625,0.36689127499986973,0.03280283850155416,0.378,0.031552425509864625,0.0,0.0,0.5425721410758817,0.0,0.5274537990565362,0.07189755915510346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.6,3.3399933466334266,8.536502718925476e-07,9.973629457107057e-08,1.0,0.0,0.3705863573244498,0.0030086429833147354,0.9046621322631836,0.0,0.3039779901504517,0.03829881072871248
beta=0.001,0.001,10,0.9,10,0.3835,0.0316271683490283,0.37130314337471704,0.032117836175574094,0.3835,0.0316271683490283,0.0,0.0,0.5425721410758817,0.0,0.5274537990565362,0.07189755915510346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.5,9.868580895391641,9.006354957818985e-07,6.929664772647073e-08,1.0,0.0,0.29457697299701113,0.002898447393767579,0.9046621322631836,0.0,0.34818234443664553,0.034276673845226445
beta=0.001,0.001,10,0.95,10,0.37950000000000006,0.030682061353319946,0.36265547338023685,0.030888843703950696,0.37950000000000006,0.030682061353319946,0.0,0.0,0.5425721410758817,0.0,0.5274537990565362,0.07189755915510346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.2,19.303425142244116,9.47802618611604e-07,4.05346043153269e-08,1.0,0.0,0.2342244624774797,0.0031645719560421687,0.9046621322631836,0.0,0.40814847946166993,0.03909642431054685
beta=0.001,0.001,10,0.99,10,0.2495,0.03411174447475695,0.20646541053343398,0.026168350647683615,0.2495,0.03411174447475695,0.0,0.0,0.5425721410758817,0.0,0.5274537990565362,0.07189755915510346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114.2,34.72367108088275,9.732088074088096e-07,1.1320494701628416e-08,1.0,0.0,0.15701915717102233,0.007971144636046536,0.9046621322631836,0.0,0.5183433055877685,0.08833540632097237
